price,listing-location,bed,bath,surface_area,location,price_per_surface
300000000,"Sedayu, Bantul",2,1,60.0,Bantul,5000000.0
900000000,"Kasihan, Bantul",3,2,111.0,Bantul,8108108.108108108
450000000,"Plered, Bantul",2,1,97.0,Bantul,4639175.257731959
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
300000000,"Kasihan, Bantul",1,1,52.0,Bantul,5769230.769230769
410000000,"Bantul, Bantul",2,1,80.0,Bantul,5125000.0
675000000,"Bantul, Bantul",2,1,85.0,Bantul,7941176.470588235
455000000,"Sedayu, Bantul",2,1,83.0,Bantul,5481927.710843373
690000000,"Bantul, Bantul",3,2,76.0,Bantul,9078947.368421054
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul,7941176.470588235
850000000,"Kasihan, Bantul",3,2,80.0,Bantul,10625000.0
900000000,"Banguntapan, Bantul",3,3,98.0,Bantul,9183673.469387755
375000000,"Sedayu, Bantul",2,1,82.0,Bantul,4573170.731707317
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6935483.870967742
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6935483.870967742
890000000,"Banguntapan, Bantul",3,2,85.0,Bantul,10470588.235294119
790000000,"Banguntapan, Bantul",3,2,75.0,Bantul,10533333.333333334
407000000,"Jetis, Bantul",2,1,80.0,Bantul,5087500.0
400000000,"Pajangan, Bantul",2,1,90.0,Bantul,4444444.444444444
400000000,"Pajangan, Bantul",2,1,90.0,Bantul,4444444.444444444
850000000,"Banguntapan, Bantul",3,2,102.0,Bantul,8333333.333333333
850000000,"Banguntapan, Bantul",3,2,102.0,Bantul,8333333.333333333
808000000,"Bantul, Bantul",3,2,85.0,Bantul,9505882.352941176
690000000,"Banguntapan, Bantul",3,2,78.0,Bantul,8846153.846153846
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul,7941176.470588235
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
1600000000,"Bantul, Bantul",4,3,193.0,Bantul,8290155.440414508
3000000000,"Bantul, Bantul",4,2,262.0,Bantul,11450381.679389313
595000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6397849.462365591
500000000,"Sewon, Bantul",3,1,97.0,Bantul,5154639.175257732
950000000,"Kasihan, Bantul",3,1,108.0,Bantul,8796296.296296297
480000000,"Kasihan, Bantul",3,1,98.0,Bantul,4897959.183673469
1000000000,"Sedayu, Bantul",7,5,110.0,Bantul,9090909.090909092
550000000,"Banguntapan, Bantul",6,3,94.0,Bantul,5851063.829787234
1600000000,"Banguntapan, Bantul",3,3,156.0,Bantul,10256410.256410256
755000000,"Banguntapan, Bantul",2,1,101.0,Bantul,7475247.524752475
790000000,"Banguntapan, Bantul",3,2,78.0,Bantul,10128205.128205128
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul,7941176.470588235
990000000,"Banguntapan, Bantul",2,2,109.0,Bantul,9082568.80733945
950000000,"Jetis, Bantul",5,5,110.0,Bantul,8636363.636363637
690000000,"Bantul, Bantul",3,2,77.0,Bantul,8961038.96103896
808000000,"Bantul, Bantul",3,2,79.0,Bantul,10227848.101265823
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul,7941176.470588235
475000000,"Bantul, Bantul",3,2,101.0,Bantul,4702970.297029703
500000000,"Sewon, Bantul",2,1,97.0,Bantul,5154639.175257732
790000000,"Banguntapan, Bantul",3,2,75.0,Bantul,10533333.333333334
800000000,"Sewon, Bantul",4,2,107.0,Bantul,7476635.514018691
950000000,"Kasihan, Bantul",3,2,150.0,Bantul,6333333.333333333
750000000,"Kasihan, Bantul",3,2,81.0,Bantul,9259259.25925926
750000000,"Kasihan, Bantul",3,2,81.0,Bantul,9259259.25925926
950000000,"Banguntapan, Bantul",4,4,90.0,Bantul,10555555.555555556
950000000,"Banguntapan, Bantul",2,2,109.0,Bantul,8715596.33027523
800000000,"Sewon, Bantul",4,2,107.0,Bantul,7476635.514018691
950000000,"Banguntapan, Bantul",2,2,109.0,Bantul,8715596.33027523
350000000,"Pajangan, Bantul",2,1,80.0,Bantul,4375000.0
800000000,"Banguntapan, Bantul",3,1,75.0,Bantul,10666666.666666666
240000000,"Bantul, Bantul",2,1,45.0,Bantul,5333333.333333333
400000000,"Pajangan, Bantul",2,1,90.0,Bantul,4444444.444444444
835000000,"Banguntapan, Bantul",3,2,102.0,Bantul,8186274.509803922
675000000,"Banguntapan, Bantul",3,2,99.0,Bantul,6818181.818181818
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
1350000000,"Banguntapan, Bantul",4,3,204.0,Bantul,6617647.05882353
410000000,"Banguntapan, Bantul",2,1,75.0,Bantul,5466666.666666667
2200000000,"Banguntapan, Bantul",5,3,241.0,Bantul,9128630.705394192
399000000,"Sedayu, Bantul",2,1,83.0,Bantul,4807228.915662651
665000000,"Banguntapan, Bantul",3,1,97.0,Bantul,6855670.103092783
3600000000,"Banguntapan, Bantul",5,5,416.0,Bantul,8653846.153846154
800000000,"Sewon, Bantul",4,2,107.0,Bantul,7476635.514018691
525000000,"Sewon, Bantul",3,1,112.0,Bantul,4687500.0
650000000,"Plered, Bantul",3,2,126.0,Bantul,5158730.158730159
475000000,"Kasihan, Bantul",3,1,93.0,Bantul,5107526.88172043
890000000,"Banguntapan, Bantul",3,2,85.0,Bantul,10470588.235294119
500000000,"Kasihan, Bantul",2,1,88.0,Bantul,5681818.181818182
450000000,"Sewon, Bantul",2,1,75.0,Bantul,6000000.0
1400000000,"Sewon, Bantul",12,12,150.0,Bantul,9333333.333333334
2300000000,"Banguntapan, Bantul",11,11,562.0,Bantul,4092526.690391459
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul,7941176.470588235
890000000,"Banguntapan, Bantul",3,2,85.0,Bantul,10470588.235294119
2250000000,"Bantul, Bantul",5,4,217.0,Bantul,10368663.594470046
2000000000,"Banguntapan, Bantul",6,5,288.0,Bantul,6944444.444444444
690000000,"Sewon, Bantul",3,1,138.0,Bantul,5000000.0
1100000000,"Banguntapan, Bantul",3,3,112.0,Bantul,9821428.57142857
690000000,"Sewon, Bantul",3,1,138.0,Bantul,5000000.0
610000000,"Kasihan, Bantul",2,1,90.0,Bantul,6777777.777777778
400000000,"Kasihan, Bantul",2,1,80.0,Bantul,5000000.0
610000000,"Kasihan, Bantul",2,1,90.0,Bantul,6777777.777777778
350000000,"Sewon, Bantul",2,1,75.0,Bantul,4666666.666666667
595000000,"Banguntapan, Bantul",3,1,90.0,Bantul,6611111.111111111
660000000,"Sedayu, Bantul",2,1,96.0,Bantul,6875000.0
300000000,"Jetis, Bantul",2,1,66.0,Bantul,4545454.545454546
395000000,"Sedayu, Bantul",2,1,72.0,Bantul,5486111.111111111
690000000,"Bantul, Bantul",3,2,77.0,Bantul,8961038.96103896
808000000,"Plered, Bantul",3,2,78.0,Bantul,10358974.358974358
675000000,"Plered, Bantul",2,1,85.0,Bantul,7941176.470588235
690000000,"Bantul, Bantul",3,2,77.0,Bantul,8961038.96103896
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6935483.870967742
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6935483.870967742
435000000,"Bantul, Bantul",2,1,90.0,Bantul,4833333.333333333
410000000,"Bantul, Bantul",2,1,80.0,Bantul,5125000.0
