iter	RMSE
0	1671605887
1	1630624783
2	1595004851
3	1558116984
4	1519379841
5	1479211377
6	1448676952
7	1413646776
8	1382621553
9	1347047987
10	1317043527
11	1288452939
12	1263179051
13	1234438331
14	1208304506
15	1187247536
16	1164092563
17	1142023155
18	1118458487
19	1094387609
20	1073028341
21	1051442103
22	1028253369
23	1006792612
24	988752216.2
25	970207762.1
26	952459849.9
27	936843373.8
28	920063222.7
29	902188394.7
30	886210702.2
31	872061938.6
32	856950145.5
33	844419273.7
34	830593288.4
35	817707568.2
36	804269165.5
37	791961731.9
38	779340261.8
39	767987372.6
40	757078201.8
41	745416020.8
42	734572417.5
43	722063443.7
44	711305376.9
45	704251011.1
46	693783462.6
47	685638332.4
48	675842992.1
49	666814963
50	657865799.8
51	649411734.1
52	642543377.3
53	634674337.2
54	627018099.4
55	622282926.4
56	614763552.2
57	606392127.2
58	599511350.6
59	593944125.5
60	589195103.6
61	581430099.7
62	574479671.3
63	568807052.2
64	563314787.5
65	557160002.3
66	552075107.1
67	546238754.4
68	540363549.4
69	536483728.4
70	532729309.5
71	528205322
72	524405662.4
73	521062074.1
74	516928086.5
75	512332549.3
76	507726547.5
77	503852345
78	500969301.2
79	496640318.3
80	492599231.2
81	488464304.2
82	484343625.4
83	482230518.8
84	480301500.5
85	476260245.2
86	472591935.5
87	468847299.7
88	465392083.1
89	462645846.8
90	459880436.3
91	457631106
92	454958005.3
93	452550239.6
94	450252425.6
95	446793162.7
96	444117245.2
97	442556147.1
98	440480705.6
99	438277948.5
100	435357388.7
101	433047502.8
102	430459027.4
103	428940983.5
104	427516322
105	425312074
106	423912464
107	421465674.8
108	419473106.3
109	417808099.5
110	415932134.8
111	414752825
112	413008701.1
113	412353698.1
114	411077174.5
115	409829121.9
116	408927417.9
117	407738340.1
118	406243609.7
119	405085624.3
120	402308804.1
121	400875197.9
122	399588554.5
123	398655693.3
124	397534102.2
125	396109899.4
126	395571472.4
127	394531688.7
128	393553257
129	390960512.4
130	389891264
131	389026534.9
132	388456754.8
133	387017926.3
134	386038613.4
135	385171729.1
136	384236319.5
137	383791340.7
138	382528374.8
139	381315031.8
140	380298380.3
141	379012816.9
142	377284692
143	376168020.3
144	374971098.7
145	373510193.6
146	371790298.8
147	369962080.2
148	368461462.1
149	367839616.7
150	366759223.5
151	366409451.7
152	365525480.4
153	363891860.6
154	363331592.5
155	362618164
156	361500038.5
157	360998173.6
158	360346697.7
159	359776132.1
160	359295759.7
161	357830206.3
162	356869751.8
163	356414700.5
164	354850934.1
165	354596986.4
166	354169244.4
167	353759709.6
168	352983147.5
169	352624836.5
170	351650588.9
171	351349165.5
172	350177573.5
173	349455947
174	349023720.8
175	348624762.1
176	348012558.6
177	347549999.8
178	346033717.8
179	345363781.4
180	344667079.2
181	343155649.8
182	342645090.8
183	341837475.8
184	341279817.1
185	340893715.3
186	339943815
187	339648818.3
188	339204473.7
189	338663341.1
190	338437097.7
191	338060880.4
192	336429034.8
193	336063574.8
194	335760233.9
195	334934764.8
196	333395521.7
197	333141470.6
198	331775908.3
199	331306714.4
200	330585487.9
201	330231019.4
202	328896164.5
203	328314263.2
204	326771218.3
205	326222511.9
206	325154284.6
207	324367089.6
208	323230801.6
209	322990902.6
210	322736643
211	321559794.7
212	321444139.8
213	320927877.4
214	320740680.6
215	320519059.9
216	319513280.1
217	319313256.6
218	319157420.9
219	319005654.4
220	318803616.9
221	317476755.7
222	316493824.4
223	316310111.9
224	316015878.9
225	315594026.5
226	314264685.6
227	314066108.2
228	313891698.7
229	312544423
230	312374256.1
231	311083349.2
232	310781429.3
233	309901415
234	309496351
235	309332443.9
236	309131094.2
237	308905699.2
238	308750127.8
239	308408292.2
240	308263076.3
241	307063913
242	306917767.1
243	306569569.6
244	306377825.7
245	305570727.5
246	304505098.1
247	303572459.7
248	302704861.7
249	302570073
250	302352940.7
251	302140739.1
252	302020246.1
253	301713968.6
254	300984214.4
255	300685452.3
256	299901487.4
257	299110064.8
258	298990931.7
259	298779773.4
260	298533220.2
261	298356040.9
262	298183811.8
263	298082962.4
264	297925116
265	297745813.2
266	297100066.5
267	296366978.5
268	296208227.3
269	296037686.7
270	295173330.9
271	295007507.8
272	294846068.2
273	294688876.2
274	293998297.5
275	293339261
276	292623043.9
277	292469900
278	292323007.9
279	292179918.4
280	292040516.6
281	291904691.4
282	291772335.8
283	291004370.8
284	290696718.5
285	290571733.6
286	289970236.8
287	289892517.2
288	289816331.1
289	289697509
290	289012276.7
291	288897114.7
292	288277535.8
293	288165438.5
294	287167044.9
295	287059647.5
296	286805999.4
297	286702724.6
298	286097716.7
299	285997175.6
300	285096403.5
301	284193368.1
302	284082527.6
303	283916540.4
304	283398847.7
305	283335505.8
306	283111914.5
307	283049326.7
308	282556273.6
309	281947190.6
310	281886747.8
311	281827501.5
312	281740485.3
313	281187078.2
314	281038149.5
315	280944413.4
316	280372873.7
317	280318003.1
318	280226976.6
319	279665201.2
320	279098654.9
321	278958443.8
322	278906780.5
323	278856143.1
324	278393527.9
325	278343476.7
326	278294419.5
327	278211307.7
328	277725164.3
329	277283064
330	276766911.3
331	276719281.6
332	276672598.2
333	276206066.4
334	276161423.3
335	275680306.9
336	275239459.6
337	274495049.1
338	274368499.9
339	274299815.4
340	273592264.1
341	273468452.6
342	273058783.2
343	272879000
344	272819206.7
345	272415715.9
346	271626426
347	271514394.4
348	271151594.6
349	271112366.4
350	270366683.7
351	270196462.2
352	270158552.6
353	270039310.1
354	270003909.4
355	269969310
356	269935492.8
357	269327711.2
358	268903763.2
359	268528856.8
360	267656703.7
361	267581436.5
362	267344488.1
363	266830727.2
364	266671905
365	266519255.1
366	265902221
367	265754815.4
368	265646600.3
369	265558255.8
370	265500777.5
371	265444651.1
372	264850590.7
373	264795569.2
374	264318823.3
375	263737844.7
376	263652037.4
377	262843946.4
378	262630949.7
379	262110951.9
380	261757160.7
381	261049953.7
382	260916062.9
383	260787405.5
384	260155952.4
385	260078348.7
386	259465555
387	259058248.6
388	258971281.4
389	258606035.6
390	258187689.4
391	257598629
392	257131158.6
393	257118532.2
394	257070458.8
395	257045514.4
396	256998906.7
397	256639315.1
398	256568882.3
399	256096620.3
400	256051519.3
401	256007481.4
402	255928668
403	255571775.9
404	255133020.3
405	255051772.5
406	254203101.8
407	253835833.2
408	253329309.2
409	253251613.3
410	252740193.2
411	252444029.6
412	251938824.9
413	251864568.1
414	251793368.6
