iter	Passed	Remaining
0	1	1104
1	1	907
2	2	932
3	3	915
4	4	827
5	5	927
6	6	922
7	7	912
8	8	901
9	9	899
10	9	895
11	10	893
12	11	892
13	12	895
14	13	888
15	14	878
16	15	867
17	15	859
18	16	852
19	17	851
20	18	855
21	19	858
22	20	861
23	20	853
24	21	846
25	22	842
26	23	838
27	24	838
28	25	838
29	25	837
30	27	845
31	28	847
32	28	846
33	29	837
34	30	841
35	31	842
36	32	841
37	33	841
38	34	842
39	35	847
40	36	845
41	37	848
42	38	847
43	38	846
44	39	836
45	39	829
46	40	828
47	41	829
48	42	821
49	43	821
50	44	821
51	45	821
52	46	822
53	46	822
54	47	821
55	48	816
56	49	817
57	50	817
58	51	817
59	52	817
60	53	816
61	53	815
62	54	811
63	55	810
64	56	813
65	57	813
66	58	811
67	59	811
68	60	810
69	60	809
70	61	811
71	62	810
72	63	810
73	64	808
74	65	806
75	66	805
76	67	804
77	68	804
78	69	805
79	70	805
80	70	804
81	71	802
82	72	801
83	73	797
84	73	795
85	74	794
86	75	790
87	76	789
88	77	788
89	77	787
90	78	786
91	79	785
92	80	784
93	81	781
94	81	780
95	82	780
96	83	780
97	84	779
98	85	777
99	86	776
100	87	775
101	88	775
102	88	773
103	89	771
104	90	770
105	90	766
106	91	765
107	92	765
108	93	764
109	94	763
110	95	762
111	96	764
112	97	764
113	97	761
114	98	760
115	99	760
116	100	756
117	100	753
118	101	752
119	102	750
120	103	750
121	104	750
122	105	749
123	106	748
124	106	746
125	107	745
126	107	740
127	108	739
128	109	738
129	110	737
130	111	737
131	111	735
132	112	732
133	113	731
134	113	729
135	114	729
136	115	728
137	116	725
138	116	724
139	117	723
140	118	722
141	119	722
142	120	721
143	121	720
144	122	720
145	122	719
146	123	718
147	124	718
148	125	718
149	126	717
150	127	717
151	127	714
152	128	713
153	129	713
154	130	712
155	131	710
156	132	709
157	132	708
158	133	706
159	134	705
160	135	703
161	135	703
162	136	701
163	137	699
164	138	699
165	138	696
166	139	693
167	139	691
168	140	690
169	141	688
170	141	687
171	142	685
172	143	684
173	144	683
174	144	682
175	145	680
176	146	679
177	147	679
178	147	678
179	148	677
180	149	676
181	150	676
182	151	675
183	152	674
184	153	674
185	153	673
186	154	672
187	155	670
188	155	669
189	156	668
190	157	666
191	158	665
192	159	665
193	159	664
194	160	661
195	161	660
196	161	659
197	162	657
198	163	656
199	163	655
200	164	654
201	165	653
202	166	652
203	166	651
204	167	650
205	168	649
206	169	649
207	170	648
208	171	647
209	171	646
210	172	645
211	173	644
212	173	641
213	174	640
214	174	638
215	175	638
216	176	637
217	177	636
218	177	633
219	178	631
220	179	631
221	179	630
222	180	629
223	181	628
224	182	628
225	183	627
226	183	626
227	184	625
228	185	624
229	186	624
230	187	623
231	187	621
232	188	621
233	189	620
234	190	618
235	190	617
236	191	616
237	192	615
238	192	614
239	193	613
240	194	612
241	195	611
242	195	610
243	196	609
244	197	608
245	198	606
246	198	605
247	199	604
248	200	603
249	200	602
250	201	601
251	202	600
252	202	598
253	203	597
254	204	596
255	204	594
256	205	593
257	206	592
258	206	591
259	207	590
260	208	589
261	208	588
262	209	587
263	210	585
264	210	584
265	211	583
266	212	582
267	213	582
268	213	581
269	214	580
270	215	579
271	216	578
272	216	577
273	217	576
274	218	575
275	219	574
276	219	574
277	220	573
278	221	572
279	222	571
280	223	570
281	223	569
282	224	569
283	225	568
284	226	568
285	227	567
286	228	566
287	228	565
288	229	564
289	230	564
290	231	563
291	232	562
292	233	562
293	233	561
294	234	560
295	235	560
296	236	559
297	236	558
298	237	557
299	238	557
300	239	556
301	240	555
302	241	554
303	241	553
304	242	553
305	243	552
306	244	551
307	245	550
308	245	549
309	246	549
310	247	548
311	248	547
312	249	547
313	250	546
314	250	545
315	251	544
316	252	544
317	253	543
318	254	542
319	255	542
320	255	541
321	256	540
322	257	540
323	258	539
324	259	539
325	260	538
326	261	537
327	261	536
328	262	535
329	263	534
330	264	534
331	265	533
332	265	532
333	266	531
334	267	531
335	268	530
336	269	530
337	270	529
338	271	528
339	272	528
340	272	527
341	273	526
342	274	525
343	275	525
344	276	524
345	277	523
346	277	523
347	278	522
348	279	521
349	280	520
350	281	520
351	282	519
352	283	519
353	284	518
354	284	517
355	285	516
356	286	516
357	287	515
358	288	515
359	289	514
360	290	514
361	291	513
362	292	513
363	293	512
364	294	511
365	295	511
366	296	510
367	297	510
368	297	509
369	298	508
370	299	508
371	300	507
372	301	507
373	302	506
374	303	505
375	304	505
376	305	504
377	306	503
378	307	503
379	308	502
380	308	501
381	310	501
382	311	501
383	311	500
