price,listing-location,bed,bath,surface_area,location
1790000000,"Ngaglik, Sleman",3,3,120.0,Sleman
170000000,"Jombor, Sleman",3,2,102.0,Sleman
695000000,"Berbah, Sleman",2,2,100.0,Sleman
560000000,"Prambanan, Sleman",3,1,109.0,Sleman
200000000,"Moyudan, Sleman",2,1,60.0,Sleman
1470000000,"Depok, Sleman",5,3,125.0,Sleman
560000000,"Prambanan, Sleman",3,1,109.0,Sleman
2100000000,"Gamping, Sleman",11,11,206.0,Sleman
1600000000,"Ngaglik, Sleman",5,4,300.0,Sleman
2400000000,"Kaliurang, Yogyakarta",3,3,403.0,Yogyakarta
875000000,"Ngaglik, Sleman",3,2,145.0,Sleman
570000000,"Ngaglik, Sleman",2,1,83.0,Sleman
300000000,"Sedayu, Bantul",2,1,60.0,Bantul
750000000,"Ngemplak, Sleman",4,2,140.0,Sleman
1850000000,"Ngaglik, Sleman",4,4,166.0,Sleman
745000000,"Piyungan, Bantul",3,1,209.0,Bantul
1700000000,"Depok, Sleman",4,3,169.0,Sleman
4200000000,"Ngemplak, Sleman",4,3,480.0,Sleman
455000000,"Umbulharjo, Yogyakarta",2,1,61.0,Yogyakarta
1100000000,"Ngaglik, Sleman",4,3,171.0,Sleman
850000000,"Godean, Sleman",3,2,135.0,Sleman
3500000000,"Depok, Sleman",7,7,349.0,Sleman
1300000000,"Umbulharjo, Yogyakarta",3,2,134.0,Yogyakarta
4800000000,"Ngaglik, Sleman",13,15,235.0,Sleman
1850000000,"Ngaglik, Sleman",4,3,135.0,Sleman
5500000000,"Depok, Sleman",3,2,275.0,Sleman
4750000000,"Mlati, Sleman",5,6,267.0,Sleman
2000000000,"Depok, Sleman",14,14,196.0,Sleman
1400000000,"Depok, Sleman",3,2,205.0,Sleman
765000000,"Gamping, Sleman",3,2,109.0,Sleman
2200000000,"Condong Catur, Sleman",3,3,139.0,Sleman
3100000000,"Kasihan, Bantul",5,3,146.0,Bantul
9900000000,"Ngaglik, Sleman",4,4,3400.0,Sleman
7500000000,"Ngaglik, Sleman",8,8,1000.0,Sleman
2500000000,"Bantul, Bantul",6,4,128.0,Bantul
1950000000,"Depok, Sleman",3,3,128.0,Sleman
10000000000,"Sleman, Sleman",5,3,848.0,Sleman
1080000000,"Ngaglik, Sleman",3,2,147.0,Sleman
969000000,"Ngaglik, Sleman",3,3,102.0,Sleman
25000000000,"Depok, Sleman",34,32,832.0,Sleman
5500000000,"Ngaglik, Sleman",5,6,295.0,Sleman
2100000000,"Depok, Sleman",3,3,139.0,Sleman
3200000000,"Ngaglik, Sleman",5,5,204.0,Sleman
2100000000,"Depok, Sleman",3,3,139.0,Sleman
500000000,"Condong Catur, Sleman",3,1,72.0,Sleman
1300000000,"Ngaglik, Sleman",3,2,156.0,Sleman
900000000,"Kasihan, Bantul",3,2,111.0,Bantul
3400000000,"Depok, Sleman",7,4,415.0,Sleman
10000000000,"Ngaglik, Sleman",9,5,1527.0,Sleman
15000000000,"Mlati, Sleman",6,7,636.0,Sleman
6500000000,"Umbulharjo, Yogyakarta",11,11,500.0,Yogyakarta
2480000000,"Sleman, Sleman",4,3,192.0,Sleman
2450000000,"Gamping, Sleman",4,3,187.0,Sleman
2650000000,"Sleman, Sleman",4,3,213.0,Sleman
2430000000,"Sleman, Sleman",4,3,192.0,Sleman
2490000000,"Sleman, Sleman",4,3,200.0,Sleman
1200000000,"Mlati, Sleman",3,2,100.0,Sleman
1650000000,"Sewon, Bantul",3,4,912.0,Bantul
2250000000,"Depok, Sleman",10,10,100.0,Sleman
900000000,"Kalasan, Sleman",4,2,120.0,Sleman
2350000000,"Depok, Sleman",4,3,120.0,Sleman
1450000000,"Condong Catur, Sleman",3,3,150.0,Sleman
450000000,"Plered, Bantul",2,1,97.0,Bantul
845000000,"Umbulharjo, Yogyakarta",2,2,60.0,Yogyakarta
1800000000,"Mlati, Sleman",3,2,134.0,Sleman
3500000000,"Mlati, Sleman",4,5,288.0,Sleman
299000000,"Gamping, Sleman",2,1,60.0,Sleman
1380000000,"Berbah, Sleman",3,2,107.0,Sleman
1200000000,"Sleman, Yogyakarta",4,5,128.0,Yogyakarta
750000000,"Condong Catur, Sleman",7,2,60.0,Sleman
750000000,"Depok, Sleman",2,1,166.0,Sleman
1650000000,"Maguwoharjo, Yogyakarta",3,3,200.0,Yogyakarta
900000000,"Kalasan, Sleman",3,2,140.0,Sleman
499000000,"Mlati, Sleman",2,1,120.0,Sleman
1600000000,"Ngaglik, Sleman",4,3,118.0,Sleman
1450000000,"Ngemplak, Sleman",3,2,100.0,Sleman
1500000000,"Umbulharjo, Yogyakarta",4,3,204.0,Yogyakarta
1850000000,"Ngemplak, Sleman",3,2,116.0,Sleman
1600000000,"Depok, Sleman",4,4,126.0,Sleman
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul
1670000000,"Depok, Sleman",4,2,162.0,Sleman
4900000000,"Condong Catur, Sleman",4,4,309.0,Sleman
28000000000,"Demangan, Yogyakarta",6,3,998.0,Yogyakarta
2360000000,"Sleman, Sleman",4,3,182.0,Sleman
2460000000,"Sleman, Sleman",4,3,196.0,Sleman
2430000000,"Gamping, Sleman",4,3,192.0,Sleman
2400000000,"Sleman, Sleman",4,3,187.0,Sleman
1590000000,"Ngaglik, Sleman",3,3,90.0,Sleman
576000000,"Ngemplak, Sleman",3,2,144.0,Sleman
2540000000,"Sleman, Sleman",4,3,200.0,Sleman
300000000,"Kasihan, Bantul",1,1,52.0,Bantul
3300000000,"Depok, Sleman",40,42,110.0,Sleman
995000000,"Depok, Sleman",3,2,109.0,Sleman
410000000,"Kalasan, Sleman",2,1,112.0,Sleman
245000000,"Prambanan, Sleman",2,1,75.0,Sleman
