price,listing-location,bed,bath,surface_area,location,price_per_surface
1790000000,"Ngaglik, Sleman",3,3,120.0,Sleman,14916666.666666666
170000000,"Jombor, Sleman",3,2,102.0,Sleman,1666666.6666666667
695000000,"Berbah, Sleman",2,2,100.0,Sleman,6950000.0
560000000,"Prambanan, Sleman",3,1,109.0,Sleman,5137614.678899082
200000000,"Moyudan, Sleman",2,1,60.0,Sleman,3333333.3333333335
1470000000,"Depok, Sleman",5,3,125.0,Sleman,11760000.0
560000000,"Prambanan, Sleman",3,1,109.0,Sleman,5137614.678899082
2100000000,"Gamping, Sleman",11,11,206.0,Sleman,10194174.757281553
1600000000,"Ngaglik, Sleman",5,4,300.0,Sleman,5333333.333333333
2400000000,"Kaliurang, Yogyakarta",3,3,403.0,Yogyakarta,5955334.987593052
875000000,"Ngaglik, Sleman",3,2,145.0,Sleman,6034482.75862069
570000000,"Ngaglik, Sleman",2,1,83.0,Sleman,6867469.879518072
300000000,"Sedayu, Bantul",2,1,60.0,Bantul,5000000.0
750000000,"Ngemplak, Sleman",4,2,140.0,Sleman,5357142.857142857
1850000000,"Ngaglik, Sleman",4,4,166.0,Sleman,11144578.313253012
745000000,"Piyungan, Bantul",3,1,209.0,Bantul,3564593.301435407
1700000000,"Depok, Sleman",4,3,169.0,Sleman,10059171.597633136
4200000000,"Ngemplak, Sleman",4,3,480.0,Sleman,8750000.0
455000000,"Umbulharjo, Yogyakarta",2,1,61.0,Yogyakarta,7459016.393442623
1100000000,"Ngaglik, Sleman",4,3,171.0,Sleman,6432748.538011696
850000000,"Godean, Sleman",3,2,135.0,Sleman,6296296.296296297
3500000000,"Depok, Sleman",7,7,349.0,Sleman,10028653.29512894
1300000000,"Umbulharjo, Yogyakarta",3,2,134.0,Yogyakarta,9701492.537313433
4800000000,"Ngaglik, Sleman",13,15,235.0,Sleman,20425531.914893616
1850000000,"Ngaglik, Sleman",4,3,135.0,Sleman,13703703.703703703
5500000000,"Depok, Sleman",3,2,275.0,Sleman,20000000.0
4750000000,"Mlati, Sleman",5,6,267.0,Sleman,17790262.172284644
2000000000,"Depok, Sleman",14,14,196.0,Sleman,10204081.632653061
1400000000,"Depok, Sleman",3,2,205.0,Sleman,6829268.292682927
765000000,"Gamping, Sleman",3,2,109.0,Sleman,7018348.623853211
2200000000,"Condong Catur, Sleman",3,3,139.0,Sleman,15827338.129496403
3100000000,"Kasihan, Bantul",5,3,146.0,Bantul,21232876.712328766
9900000000,"Ngaglik, Sleman",4,4,3400.0,Sleman,2911764.705882353
7500000000,"Ngaglik, Sleman",8,8,1000.0,Sleman,7500000.0
2500000000,"Bantul, Bantul",6,4,128.0,Bantul,19531250.0
1950000000,"Depok, Sleman",3,3,128.0,Sleman,15234375.0
10000000000,"Sleman, Sleman",5,3,848.0,Sleman,11792452.830188679
1080000000,"Ngaglik, Sleman",3,2,147.0,Sleman,7346938.775510204
969000000,"Ngaglik, Sleman",3,3,102.0,Sleman,9500000.0
25000000000,"Depok, Sleman",34,32,832.0,Sleman,30048076.923076924
5500000000,"Ngaglik, Sleman",5,6,295.0,Sleman,18644067.79661017
2100000000,"Depok, Sleman",3,3,139.0,Sleman,15107913.669064749
3200000000,"Ngaglik, Sleman",5,5,204.0,Sleman,15686274.509803921
2100000000,"Depok, Sleman",3,3,139.0,Sleman,15107913.669064749
500000000,"Condong Catur, Sleman",3,1,72.0,Sleman,6944444.444444444
1300000000,"Ngaglik, Sleman",3,2,156.0,Sleman,8333333.333333333
900000000,"Kasihan, Bantul",3,2,111.0,Bantul,8108108.108108108
3400000000,"Depok, Sleman",7,4,415.0,Sleman,8192771.084337349
10000000000,"Ngaglik, Sleman",9,5,1527.0,Sleman,6548788.474132285
15000000000,"Mlati, Sleman",6,7,636.0,Sleman,23584905.660377357
6500000000,"Umbulharjo, Yogyakarta",11,11,500.0,Yogyakarta,13000000.0
2480000000,"Sleman, Sleman",4,3,192.0,Sleman,12916666.666666666
2450000000,"Gamping, Sleman",4,3,187.0,Sleman,13101604.278074866
2650000000,"Sleman, Sleman",4,3,213.0,Sleman,12441314.55399061
2430000000,"Sleman, Sleman",4,3,192.0,Sleman,12656250.0
2490000000,"Sleman, Sleman",4,3,200.0,Sleman,12450000.0
1200000000,"Mlati, Sleman",3,2,100.0,Sleman,12000000.0
1650000000,"Sewon, Bantul",3,4,912.0,Bantul,1809210.5263157894
2250000000,"Depok, Sleman",10,10,100.0,Sleman,22500000.0
900000000,"Kalasan, Sleman",4,2,120.0,Sleman,7500000.0
2350000000,"Depok, Sleman",4,3,120.0,Sleman,19583333.333333332
1450000000,"Condong Catur, Sleman",3,3,150.0,Sleman,9666666.666666666
450000000,"Plered, Bantul",2,1,97.0,Bantul,4639175.257731959
845000000,"Umbulharjo, Yogyakarta",2,2,60.0,Yogyakarta,14083333.333333334
1800000000,"Mlati, Sleman",3,2,134.0,Sleman,13432835.820895523
3500000000,"Mlati, Sleman",4,5,288.0,Sleman,12152777.777777778
299000000,"Gamping, Sleman",2,1,60.0,Sleman,4983333.333333333
1380000000,"Berbah, Sleman",3,2,107.0,Sleman,12897196.261682242
1200000000,"Sleman, Yogyakarta",4,5,128.0,Yogyakarta,9375000.0
750000000,"Condong Catur, Sleman",7,2,60.0,Sleman,12500000.0
750000000,"Depok, Sleman",2,1,166.0,Sleman,4518072.289156627
1650000000,"Maguwoharjo, Yogyakarta",3,3,200.0,Yogyakarta,8250000.0
900000000,"Kalasan, Sleman",3,2,140.0,Sleman,6428571.428571428
499000000,"Mlati, Sleman",2,1,120.0,Sleman,4158333.3333333335
1600000000,"Ngaglik, Sleman",4,3,118.0,Sleman,13559322.033898305
1450000000,"Ngemplak, Sleman",3,2,100.0,Sleman,14500000.0
1500000000,"Umbulharjo, Yogyakarta",4,3,204.0,Yogyakarta,7352941.176470588
1850000000,"Ngemplak, Sleman",3,2,116.0,Sleman,15948275.862068966
1600000000,"Depok, Sleman",4,4,126.0,Sleman,12698412.698412698
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
1670000000,"Depok, Sleman",4,2,162.0,Sleman,10308641.975308642
4900000000,"Condong Catur, Sleman",4,4,309.0,Sleman,15857605.177993527
28000000000,"Demangan, Yogyakarta",6,3,998.0,Yogyakarta,28056112.224448897
2360000000,"Sleman, Sleman",4,3,182.0,Sleman,12967032.967032967
2460000000,"Sleman, Sleman",4,3,196.0,Sleman,12551020.408163264
2430000000,"Gamping, Sleman",4,3,192.0,Sleman,12656250.0
2400000000,"Sleman, Sleman",4,3,187.0,Sleman,12834224.598930482
1590000000,"Ngaglik, Sleman",3,3,90.0,Sleman,17666666.666666668
576000000,"Ngemplak, Sleman",3,2,144.0,Sleman,4000000.0
2540000000,"Sleman, Sleman",4,3,200.0,Sleman,12700000.0
300000000,"Kasihan, Bantul",1,1,52.0,Bantul,5769230.769230769
3300000000,"Depok, Sleman",40,42,110.0,Sleman,30000000.0
995000000,"Depok, Sleman",3,2,109.0,Sleman,9128440.366972476
410000000,"Kalasan, Sleman",2,1,112.0,Sleman,3660714.285714286
245000000,"Prambanan, Sleman",2,1,75.0,Sleman,3266666.6666666665
2400000000,"Sleman, Sleman",4,3,403.0,Sleman,5955334.987593052
1790000000,"Purwomartani   , Sleman",4,3,113.0,Sleman,15840707.96460177
399000000,"Minggir, Sleman",2,1,100.0,Sleman,3990000.0
550000000,"Mlati, Sleman",3,2,101.0,Sleman,5445544.554455445
2400000000,"Gondokusuman, Yogyakarta",3,2,121.0,Yogyakarta,19834710.743801653
410000000,"Bantul, Bantul",2,1,80.0,Bantul,5125000.0
2900000000,"Ngaglik, Sleman",3,3,140.0,Sleman,20714285.714285713
650000000,"Kotagede, Yogyakarta",4,2,90.0,Yogyakarta,7222222.222222222
775000000,"Sleman, Yogyakarta",2,1,132.0,Yogyakarta,5871212.121212121
1000000000,"Ngaglik, Sleman",6,6,131.0,Sleman,7633587.786259542
999000000,"Ngemplak, Sleman",3,3,103.0,Sleman,9699029.126213592
7250000000,"Turi, Sleman",5,7,2770.0,Sleman,2617328.5198555957
1200000000,"Kaliurang, Sleman",4,2,766.0,Sleman,1566579.634464752
695000000,"Pogung, Yogyakarta",2,2,100.0,Yogyakarta,6950000.0
675000000,"Bantul, Bantul",2,1,85.0,Bantul,7941176.470588235
4250000000,"Mantrijeron, Yogyakarta",3,3,425.0,Yogyakarta,10000000.0
725000000,"Cebongan, Sleman",3,2,114.0,Sleman,6359649.1228070175
815000000,"Umbulharjo, Yogyakarta",2,2,75.0,Yogyakarta,10866666.666666666
455000000,"Sedayu, Bantul",2,1,83.0,Bantul,5481927.710843373
1300000000,"Mlati, Sleman",3,1,126.0,Sleman,10317460.317460317
690000000,"Bantul, Bantul",3,2,76.0,Bantul,9078947.368421054
11000000000,"Ngaglik, Sleman",4,3,340.0,Sleman,32352941.17647059
2430000000,"Sleman, Sleman",4,3,192.0,Sleman,12656250.0
575000000,"Kalasan, Sleman",3,2,98.0,Sleman,5867346.9387755105
4200000000,"Mlati, Sleman",4,4,564.0,Sleman,7446808.510638298
1850000000,"Depok, Sleman",3,2,126.0,Sleman,14682539.682539683
580000000,"Sleman, Yogyakarta",3,2,90.0,Yogyakarta,6444444.444444444
4250000000,"Mantrijeron, Yogyakarta",3,3,425.0,Yogyakarta,10000000.0
3100000000,"Mlati, Sleman",7,4,225.0,Sleman,13777777.777777778
750000000,"Depok, Sleman",2,1,166.0,Sleman,4518072.289156627
25000000000,"Pakualaman, Yogyakarta",9,9,429.0,Yogyakarta,58275058.27505828
799000000,"Mlati, Sleman",3,2,111.0,Sleman,7198198.198198198
799000000,"Umbulharjo, Yogyakarta",3,2,75.0,Yogyakarta,10653333.333333334
8900000000,"Ngaglik, Sleman",7,6,1050.0,Sleman,8476190.476190476
3990000000,"Depok, Sleman",13,11,235.0,Sleman,16978723.40425532
950000000,"Depok, Sleman",4,4,90.0,Sleman,10555555.555555556
800000000,"Bantul, Yogyakarta",3,2,101.0,Yogyakarta,7920792.0792079205
4000000000,"Mlati, Sleman",15,15,207.0,Sleman,19323671.49758454
1700000000,"Gamping, Sleman",10,10,100.0,Sleman,17000000.0
392000000,"Sayegan, Sleman",2,1,80.0,Sleman,4900000.0
1450000000,"Danurejan, Yogyakarta",3,3,110.0,Yogyakarta,13181818.181818182
1300000000,"Gamping, Sleman",10,6,236.0,Sleman,5508474.576271187
4200000000,"Mlati, Sleman",4,4,564.0,Sleman,7446808.510638298
235000000,"Depok, Sleman",2,1,73.0,Sleman,3219178.0821917807
2400000000,"Ngaglik, Sleman",10,10,175.0,Sleman,13714285.714285715
1880000000,"Mlati, Sleman",3,3,121.0,Sleman,15537190.082644628
2660000000,"Mlati, Sleman",3,3,153.0,Sleman,17385620.91503268
320000000,"Ngaglik, Sleman",2,1,94.0,Sleman,3404255.3191489363
1650000000,"Ngaglik, Sleman",4,3,125.0,Sleman,13200000.0
1990000000,"Sleman, Yogyakarta",3,3,172.0,Yogyakarta,11569767.441860465
1800000000,"Ngaglik, Sleman",3,3,95.0,Sleman,18947368.42105263
550000000,"Kalasan, Sleman",3,1,116.0,Sleman,4741379.310344827
1700000000,"Ngaglik, Sleman",3,4,151.0,Sleman,11258278.145695364
1100000000,"Ngaglik, Sleman",3,2,138.0,Sleman,7971014.492753623
2200000000,"Ngaglik, Sleman",5,4,114.0,Sleman,19298245.61403509
750000000,"Sleman, Sleman",3,2,130.0,Sleman,5769230.769230769
237000000,"Kalasan, Sleman",2,1,60.0,Sleman,3950000.0
750000000,"Sleman, Sleman",3,2,130.0,Sleman,5769230.769230769
1650000000,"Ngaglik, Sleman",4,3,125.0,Sleman,13200000.0
1520000000,"Ngaglik, Sleman",4,2,99.0,Sleman,15353535.353535354
350000000,"Godean, Sleman",2,1,104.0,Sleman,3365384.6153846155
850000000,"Ngaglik, Sleman",3,2,114.0,Sleman,7456140.350877193
2950000000,"Wirobrajan, Yogyakarta",4,3,213.0,Yogyakarta,13849765.258215962
895000000,"Kotagede, Yogyakarta",3,2,91.0,Yogyakarta,9835164.835164836
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
1200000000,"Umbulharjo, Yogyakarta",3,2,115.0,Yogyakarta,10434782.608695652
1270000000,"Depok, Sleman",3,2,130.0,Sleman,9769230.76923077
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul,7941176.470588235
817000000,"Gamping, Sleman",2,2,103.0,Sleman,7932038.834951457
4500000000,"Depok, Sleman",20,15,235.0,Sleman,19148936.170212764
817000000,"Gamping, Sleman",2,2,103.0,Sleman,7932038.834951457
470000000,"Gondokusuman, Yogyakarta",3,3,147.0,Yogyakarta,3197278.911564626
765000000,"Umbulharjo, Yogyakarta",2,1,101.0,Yogyakarta,7574257.425742574
675000000,"Kalasan, Sleman",2,1,84.0,Sleman,8035714.285714285
2200000000,"Ngaglik, Sleman",4,4,150.0,Sleman,14666666.666666666
725000000,"Maguwoharjo, Yogyakarta",3,2,100.0,Yogyakarta,7250000.0
800000000,"Ngemplak, Sleman",3,2,120.0,Sleman,6666666.666666667
884000000,"Maguwoharjo, Yogyakarta",4,2,104.0,Yogyakarta,8500000.0
3400000000,"Condong Catur, Sleman",4,3,421.0,Sleman,8076009.501187649
1250000000,"Ngaglik, Sleman",2,2,125.0,Sleman,10000000.0
500000000,"Ngemplak, Sleman",2,2,80.0,Sleman,6250000.0
500000000,"Kalasan, Sleman",3,2,108.0,Sleman,4629629.62962963
3900000000,"Ngaglik, Sleman",14,14,502.0,Sleman,7768924.302788844
690000000,"Seturan, Yogyakarta",2,1,87.0,Yogyakarta,7931034.482758621
875000000,"Maguwoharjo, Yogyakarta",3,2,112.0,Yogyakarta,7812500.0
756000000,"Ngaglik, Sleman",3,1,104.0,Sleman,7269230.769230769
4500000000,"Ngaglik, Sleman",5,2,503.0,Sleman,8946322.067594433
1300000000,"Ngemplak, Sleman",5,6,320.0,Sleman,4062500.0
850000000,"Kasihan, Bantul",3,2,80.0,Bantul,10625000.0
6500000000,"Pakem, Sleman",9,6,2367.0,Sleman,2746092.099704267
1290000000,"Banguntapan, Bantul",4,3,99.0,Bantul,13030303.030303031
2700000000,"Ngaglik, Sleman",3,2,267.0,Sleman,10112359.550561797
6500000000,"Kalasan, Sleman",5,4,778.0,Sleman,8354755.784061696
1780000000,"Depok, Sleman",4,3,118.0,Sleman,15084745.762711864
1250000000,"Mlati, Sleman",3,3,105.0,Sleman,11904761.904761905
575000000,"Kalasan, Sleman",2,1,108.0,Sleman,5324074.074074074
8900000000,"Ngaglik, Sleman",17,17,550.0,Sleman,16181818.181818182
775000000,"Gamping, Sleman",2,2,118.0,Sleman,6567796.610169492
575000000,"Kalasan, Sleman",3,2,101.0,Sleman,5693069.306930693
785000000,"Ngemplak, Sleman",3,2,115.0,Sleman,6826086.956521739
2450000000,"Depok, Sleman",8,5,150.0,Sleman,16333333.333333334
6000000000,"Caturtunggal, Sleman",34,8,1145.0,Sleman,5240174.672489083
1850000000,"Tegalrejo, Yogyakarta",4,3,147.0,Yogyakarta,12585034.013605442
8500000000,"Depok, Sleman",17,15,389.0,Sleman,21850899.74293059
900000000,"Banguntapan, Bantul",3,3,98.0,Bantul,9183673.469387755
3500000000,"Mlati, Sleman",14,5,203.0,Sleman,17241379.310344826
750000000,"Sleman, Sleman",3,2,130.0,Sleman,5769230.769230769
2200000000,"Umbulharjo, Yogyakarta",5,6,495.0,Yogyakarta,4444444.444444444
2800000000,"Depok, Sleman",7,3,140.0,Sleman,20000000.0
4500000000,"Purwomartani   , Sleman",3,2,668.0,Sleman,6736526.946107784
2800000000,"Ngaglik, Sleman",4,4,154.0,Sleman,18181818.181818184
1500000000,"Kalasan, Sleman",2,1,120.0,Sleman,12500000.0
275000000,"Bantul, Bantul",2,1,70.0,Bantul,3928571.4285714286
1700000000,"Ngaglik, Sleman",6,5,162.0,Sleman,10493827.160493826
25000000000,"Pakualaman, Yogyakarta",9,9,429.0,Yogyakarta,58275058.27505828
6000000000,"Gamping, Sleman",6,6,688.0,Sleman,8720930.232558139
5200000000,"Umbulharjo, Yogyakarta",12,12,525.0,Yogyakarta,9904761.904761905
305000000,"Wonosari, Gunung Kidul",2,1,66.0,Gunung Kidul,4621212.121212121
310000000,"Wonosari, Gunung Kidul",2,1,72.0,Gunung Kidul,4305555.555555556
310000000,"Wonosari, Gunung Kidul",2,1,72.0,Gunung Kidul,4305555.555555556
315000000,"Wonosari, Gunung Kidul",2,1,45.0,Gunung Kidul,7000000.0
312000000,"Wonosari, Gunung Kidul",2,1,45.0,Gunung Kidul,6933333.333333333
3100000000,"Mlati, Sleman",7,4,225.0,Sleman,13777777.777777778
375000000,"Sedayu, Bantul",2,1,82.0,Bantul,4573170.731707317
2100000000,"Depok, Sleman",3,3,139.0,Sleman,15107913.669064749
2000000000,"Umbulharjo, Yogyakarta",4,2,105.0,Yogyakarta,19047619.04761905
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6935483.870967742
4200000000,"Mlati, Sleman",4,4,564.0,Sleman,7446808.510638298
1280000000,"Ngaglik, Sleman",3,3,134.0,Sleman,9552238.80597015
270000000,"Prambanan, Sleman",2,1,61.0,Sleman,4426229.508196721
3100000000,"Mlati, Sleman",7,4,225.0,Sleman,13777777.777777778
1780000000,"Gamping, Sleman",3,3,119.0,Sleman,14957983.19327731
598000000,"Berbah, Sleman",2,1,90.0,Sleman,6644444.444444444
645000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6935483.870967742
4200000000,"Mlati, Sleman",4,4,564.0,Sleman,7446808.510638298
25000000000,"Pakualaman, Yogyakarta",9,9,429.0,Yogyakarta,58275058.27505828
1820000000,"Gamping, Sleman",3,2,140.0,Sleman,13000000.0
2900000000,"Pakem, Sleman",2,3,380.0,Sleman,7631578.947368421
499000000,"Ngaglik, Sleman",2,1,120.0,Sleman,4158333.3333333335
4250000000,"Mantrijeron, Yogyakarta",3,3,425.0,Yogyakarta,10000000.0
592000000,"Sayegan, Sleman",2,1,91.0,Sleman,6505494.505494505
985000000,"Depok, Sleman",2,2,125.0,Sleman,7880000.0
890000000,"Banguntapan, Bantul",3,2,85.0,Bantul,10470588.235294119
5000000000,"Pakem, Sleman",8,7,1031.0,Sleman,4849660.523763336
4750000000,"Ngaglik, Sleman",5,5,419.0,Sleman,11336515.513126493
1250000000,"Depok, Sleman",2,1,130.0,Sleman,9615384.615384616
790000000,"Banguntapan, Bantul",3,2,75.0,Bantul,10533333.333333334
4200000000,"Depok, Sleman",5,4,230.0,Sleman,18260869.56521739
250000000,"Jetis, Bantul",2,1,76.0,Bantul,3289473.6842105263
600000000,"Sleman, Sleman",3,1,167.0,Sleman,3592814.371257485
6900000000,"Ngaglik, Sleman",5,3,843.0,Sleman,8185053.380782918
3800000000,"Sleman, Sleman",3,3,199.0,Sleman,19095477.38693467
407000000,"Jetis, Bantul",2,1,80.0,Bantul,5087500.0
297000000,"Bantul, Bantul",2,1,75.0,Bantul,3960000.0
400000000,"Pajangan, Bantul",2,1,90.0,Bantul,4444444.444444444
1450000000,"Kraton, Yogyakarta",3,3,110.0,Yogyakarta,13181818.181818182
1940000000,"Danurejan, Yogyakarta",3,3,150.0,Yogyakarta,12933333.333333334
400000000,"Pajangan, Bantul",2,1,90.0,Bantul,4444444.444444444
580000000,"Cebongan, Yogyakarta",3,2,101.0,Yogyakarta,5742574.257425742
850000000,"Banguntapan, Bantul",3,2,102.0,Bantul,8333333.333333333
850000000,"Banguntapan, Bantul",3,2,102.0,Bantul,8333333.333333333
850000000,"Kraton, Yogyakarta",4,3,126.0,Yogyakarta,6746031.746031746
350000000,"Sedayu, Bantul",2,1,105.0,Bantul,3333333.3333333335
2120000000,"Sewon, Bantul",4,4,120.0,Bantul,17666666.666666668
2120000000,"Sewon, Bantul",4,4,120.0,Bantul,17666666.666666668
808000000,"Bantul, Bantul",3,2,85.0,Bantul,9505882.352941176
690000000,"Banguntapan, Bantul",3,2,78.0,Bantul,8846153.846153846
675000000,"Banguntapan, Bantul",2,1,85.0,Bantul,7941176.470588235
1250000000,"Depok, Sleman",10,4,128.0,Sleman,9765625.0
870000000,"Godean, Sleman",3,2,135.0,Sleman,6444444.444444444
2600000000,"Maguwoharjo, Yogyakarta",4,3,150.0,Yogyakarta,17333333.333333332
300000000,"Pajangan, Bantul",2,1,74.0,Bantul,4054054.054054054
2300000000,"Kaliurang, Sleman",8,9,98.0,Sleman,23469387.755102042
1600000000,"Danurejan, Yogyakarta",4,2,125.0,Yogyakarta,12800000.0
2500000000,"Kasihan, Bantul",3,3,352.0,Bantul,7102272.7272727275
1600000000,"Bantul, Bantul",4,3,193.0,Bantul,8290155.440414508
6500000000,"Bantul, Bantul",5,5,455.0,Bantul,14285714.285714285
1750000000,"Tegalrejo, Yogyakarta",4,4,187.0,Yogyakarta,9358288.770053476
3500000000,"Depok, Sleman",4,3,728.0,Sleman,4807692.307692308
3500000000,"Depok, Sleman",4,3,728.0,Sleman,4807692.307692308
299000000,"Gamping, Sleman",2,1,74.0,Sleman,4040540.5405405406
3000000000,"Bantul, Bantul",4,2,262.0,Bantul,11450381.679389313
385000000,"Mlati, Sleman",3,2,63.0,Sleman,6111111.111111111
900000000,"Godean, Sleman",3,2,133.0,Sleman,6766917.293233083
1300000000,"Umbulharjo, Yogyakarta",3,3,135.0,Yogyakarta,9629629.629629629
280000000,"Ngaglik, Sleman",2,1,88.0,Sleman,3181818.1818181816
1600000000,"Prambanan, Sleman",3,2,530.0,Sleman,3018867.9245283017
250000000,"Ngaglik, Sleman",2,1,88.0,Sleman,2840909.090909091
42000000000,"Umbulharjo, Yogyakarta",5,4,1769.0,Yogyakarta,23742227.24703222
1750000000,"Mlati, Sleman",3,2,131.0,Sleman,13358778.625954198
4600000000,"Caturtunggal, Sleman",5,3,443.0,Sleman,10383747.17832957
900000000,"Ngaglik, Sleman",2,2,108.0,Sleman,8333333.333333333
595000000,"Banguntapan, Bantul",3,1,93.0,Bantul,6397849.462365591
852000000,"Depok, Sleman",4,2,142.0,Sleman,6000000.0
700000000,"Mlati, Sleman",3,2,106.0,Sleman,6603773.584905661
2300000000,"Mlati, Sleman",8,8,98.0,Sleman,23469387.755102042
1290000000,"Banguntapan, Bantul",4,3,99.0,Bantul,13030303.030303031
375000000,"Kalasan, Sleman",2,1,72.0,Sleman,5208333.333333333
1470000000,"Depok, Sleman",4,4,178.0,Sleman,8258426.9662921345
462000000,"Sleman, Yogyakarta",1,1,201.0,Yogyakarta,2298507.462686567
1560000000,"Sleman, Sleman",1,1,209.0,Sleman,7464114.832535885
550000000,"Ngemplak, Sleman",3,2,82.0,Sleman,6707317.073170732
2500000000,"Depok, Sleman",3,2,123.0,Sleman,20325203.252032522
495000000,"Imogiri              , Bantul",3,1,141.0,Bantul,3510638.2978723403
475000000,"Cebongan, Sleman",2,1,90.0,Sleman,5277777.777777778
5500000000,"Gondokusuman, Yogyakarta",4,4,287.0,Yogyakarta,19163763.06620209
700000000,"Kalasan, Sleman",2,2,100.0,Sleman,7000000.0
